objectid,me,exposure,slope,lsfactor,twindex,curvature,path_river,path_village,studyarea,area,areaA,areaB,areaC,flat,north,south,east,west,lnlsfactor,lsfactor_w,lsfactor_a
17,A0041,90,"3,71128","2,63459","-15,2051","2,21864","2287,59","329,65",A,1,1,0,0,0,0,0,1,0,"0,9687275","2,63459","2,63459"
18,A0042,"108,435","1,46875","1,50202","-10,4555","-3,08605","2047,97","561,915",A,1,1,0,0,0,0,0,1,0,"0,4068109","1,80597","1,50202"
19,A0043,-1,0,"1,42695","-10,8951","-77,226","2194,15","745,751",A,1,1,0,0,1,0,0,0,0,"0,3555393","1,80597","1,42695"
20,A0044,"291,801","2,50015","3,50405","-13,1967","-13,6092","1810,34","561,379",A,1,1,0,0,0,0,0,0,1,"1,253919","3,50405","3,50405"
21,A0045,45,"1,64202","5,42936","-10,5508","-14,1115","2024,89","446,037",A,1,1,0,0,0,1,0,0,0,"1,691821","5,42936","5,42936"
22,A0046,"288,435","2,20252","7,53966","-2,98026","-19,4905","2497,26","482,754",A,1,1,0,0,0,0,0,0,1,"2,020177","7,53966","7,53966"
23,A0047,"306,87","4,63546","6,7019","-2,97703","-3,4454","2840,3","539,129",A,1,1,0,0,0,0,0,0,1,"1,902391","6,7019","6,7019"
24,A0048,"108,435","0,734494",0,"7,62767","-36,1524","3071,48","762,349",A,1,1,0,0,0,0,0,1,0,,"1,80597",0
25,A0049,"257,735","5,45072","2,04105","-16,7256","-13,7224","1948,85","246,052",A,1,1,0,0,0,0,0,0,1,"0,7134644","2,04105","2,04105"
26,A0050,"353,66","4,19924","5,03764","-11,9658","-49,429","2128,34","402,86",A,1,1,0,0,0,1,0,0,0,"1,616938","5,03764","5,03764"
27,A0051,"97,125","3,74008","3,74874","-13,2082","7,99366","1624,78","866,432",A,1,1,0,0,0,0,0,1,0,"1,32142","3,74874","3,74874"
28,A0052,"149,621","7,7604","3,17919","-15,0733","1,79039","1651,5","495,403",A,1,1,0,0,0,0,1,0,0,"1,156626","3,17919","3,17919"
29,A0053,"302,471","3,02575","4,05337","-5,99351","-43,3223","2187,07","1122,87",A,1,1,0,0,0,0,0,0,1,"1,399549","4,05337","4,05337"
30,A0054,"335,556","2,80441","5,30583","-3,92325","-31,5845","2154,06","979,376",A,1,1,0,0,0,1,0,0,0,"1,668806","5,30583","5,30583"
31,A0056,"297,897","4,45897","1,83045","-11,2116","3,47706","548,301","1588,55",A,1,1,0,0,0,0,0,0,1,"0,6045619","1,83045","1,83045"
32,A0067,"152,103","4,45897","2,29423","-15,8959","2,04402","2649,76","1539,99",A,1,1,0,0,0,0,1,0,0,"0,8303972","2,29423","2,29423"
33,A0070,"175,236","5,57637","6,2516","-11,2923","-31,2542","2688,55","1398,13",A,1,1,0,0,0,0,1,0,0,"1,832837","6,2516","6,2516"
34,A0071,"172,875","3,74008","7,82766","-9,46456","-6,89956","2833,39","1674,02",A,1,1,0,0,0,0,1,0,0,"2,057664","7,82766","7,82766"
35,A0072,"38,6598","2,97197","1,51556","-10,5947","6,06879",2672,"1363,35",A,1,1,0,0,0,1,0,0,0,"0,415785","1,80597","1,51556"
36,A0073,"258,69","1,18423","6,10613","-3,16119","-25,7846","2415,43","864,844",A,1,1,0,0,0,0,0,0,1,"1,809293","6,10613","6,10613"
37,A0074,"140,194","7,21823","4,33515","-12,7463","10,778","2624,08","734,822",A,1,1,0,0,0,0,1,0,0,"1,466756","4,33515","4,33515"
38,A0075,"183,18","8,31609","2,94389","-14,3491","-5,77792","3014,27","945,425",A,1,1,0,0,0,0,1,0,0,"1,079732","2,94389","2,94389"
39,A0076,"35,5377","1,99734","1,98555","-10,1595","-0,263029","3698,32","632,891",A,1,1,0,0,0,1,0,0,0,"0,685896","1,98555","1,98555"
40,A0077,"75,9638","1,91472","1,60935","-9,88815","-6,57108","3403,4","788,539",A,1,1,0,0,0,0,0,1,0,"0,4758303","1,80597","1,60935"
41,A0078,-1,0,"2,41108","-8,27328","2,90036","3597,56","746,444",A,1,1,0,0,1,0,0,0,0,"0,8800747","2,41108","2,41108"
42,A0079,"237,995","4,37414","3,73967","-6,21463","-25,2164","3482,72","935,63",A,1,1,0,0,0,0,0,0,1,"1,318997","3,73967","3,73967"
43,A0080,"164,745","2,64652","3,49904","-5,9466","-10,9194","3382,2","1138,26",A,1,1,0,0,0,0,1,0,0,"1,252489","3,49904","3,49904"
44,A0081,"351,87","1,64202","3,94048","-5,35302","-4,49489","3240,22","1179,7",A,1,1,0,0,0,1,0,0,0,"1,371302","3,94048","3,94048"
45,A0082,"261,529","10,904","3,19727","-14,998","-2,39267","3060,52","1118,17",A,1,1,0,0,0,0,0,0,1,"1,162297","3,19727","3,19727"
46,A0083,"277,431","5,3719","4,43422","-12,3093","-8,86152","2978,11","1567,75",A,1,1,0,0,0,0,0,0,1,"1,489352","4,43422","4,43422"
47,A0084,"196,699","4,83862","3,65279","-13,796","-4,81049","3148,73","1506,6",A,1,1,0,0,0,0,1,0,0,"1,295491","3,65279","3,65279"
48,A0085,"167,969","14,1899","2,5927","-16,7398","18,0014","2920,62","1379,8",A,1,1,0,0,0,0,1,0,0,"0,9526998","2,5927","2,5927"
49,A0086,"302,471","3,02575","7,72816","-1,9833","-10,848","2706,72","257,251",A,1,1,0,0,0,0,0,0,1,"2,044871","7,72816","7,72816"
50,A0087,"356,186","6,94959","5,64966","-10,0008","-44,9406","2739,93","389,927",A,1,1,0,0,0,1,0,0,0,"1,731595","5,64966","5,64966"
51,A0088,"30,9638","1,35416","3,01245","-14,1888","-33,9757","3027,48","302,176",A,1,1,0,0,0,1,0,0,0,"1,102754","3,01245","3,01245"
52,A0089,"239,036","1,35416","4,19969","-11,8352","-19,8793","3018,31","624,401",A,1,1,0,0,0,0,0,0,1,"1,435011","4,19969","4,19969"
53,A0090,"288,435","2,20252","4,8542","-4,30843","-53,2948","3176,05","873,979",A,1,1,0,0,0,0,0,0,1,"1,579844","4,8542","4,8542"
54,A0091,135,"1,64202","2,42378","-8,47323","-17,1843","2767,81","468,693",A,1,1,0,0,0,0,1,0,0,"0,8853283","2,42378","2,42378"
55,A0092,"67,6199","4,26254","3,24512","-14,2772","6,96917","2567,3","719,167",A,1,1,0,0,0,0,0,1,0,"1,177152","3,24512","3,24512"
56,A0093,"338,199","2,50015","5,26636","-10,3493","-20,4028","2356,02","592,391",A,1,1,0,0,0,1,0,0,0,"1,661339","5,26636","5,26636"
57,A0094,315,"1,97019","3,25758","-7,01195","-3,03052","2560,75","586,559",A,1,1,0,0,0,1,0,0,0,"1,180985","3,25758","3,25758"
58,A0095,"259,992","4,00325","3,92081","-12,5239","-20,5685","2195,06","256,798",A,1,1,0,0,0,0,0,0,1,"1,366298","3,92081","3,92081"
59,A0096,"218,991","6,25095","3,60281","-13,9892","-7,30206","1771,57","363,107",A,1,1,0,0,0,0,1,0,0,"1,281714","3,60281","3,60281"
60,A0097,"168,69","2,36745","4,36542","-12,3939","-1,88896","1407,38","878,31",A,1,1,0,0,0,0,1,0,0,"1,473714","4,36542","4,36542"
61,A0098,"153,435","2,07667","5,81128","-10,6701","-6,80583","1752,11","361,756",A,1,1,0,0,0,0,1,0,0,"1,759801","5,81128","5,81128"
62,A0099,"239,931","5,08619","4,23151","-13,1352","-13,4223","1548,93","588,703",A,1,1,0,0,0,0,0,0,1,"1,442559","4,23151","4,23151"
63,A0100,90,"2,32153","4,40449","-5,39616","-24,1361","516,527","1515,7",A,1,1,0,0,0,0,0,1,0,"1,482625","4,40449","4,40449"
64,A0101,45,"2,95382","7,23627","-9,80764","-19,1063","731,534","1070,43",A,1,1,0,0,0,1,0,0,0,"1,979106","7,23627","7,23627"
65,A0102,"23,1986","5,29188","2,32532","-15,7254","-12,931","519,069","1296,84",A,1,1,0,0,0,1,0,0,0,"0,8438576","2,32532","2,32532"
66,A0103,90,"2,32153","4,14274","-12,2491","-9,23563","891,458","926,972",A,1,1,0,0,0,0,0,1,0,"1,421357","4,14274","4,14274"
67,A0104,"290,225","4,69279","3,07485","-14,7237","43,9402","1138,13","1171,84",A,1,1,0,0,0,0,0,0,1,"1,123256","3,07485","3,07485"
68,A0105,"94,0856","6,49248","4,9762","-12,2501","3,84241","1484,67","927,137",A,1,1,0,0,0,0,0,1,0,"1,604667","4,9762","4,9762"
69,A0106,"251,565","2,93557","4,92357","-11,4966","-47,7161","1732,23","768,907",A,1,1,0,0,0,0,0,0,1,"1,594034","4,92357","4,92357"
70,A0107,"71,565","8,74585","2,47112","-16,2862","-10,1038","1861,68","808,484",A,1,1,0,0,0,0,0,1,0,"0,9046715","2,47112","2,47112"
71,A0108,"54,0903","8,25911","2,58124","-15,9755","1,43493","915,547","1151,41",A,1,1,0,0,0,0,0,1,0,"0,9482699","2,58124","2,58124"
72,A0109,"53,1301","9,21103","2,71146","-15,8982","-2,44486","373,985","1463,74",A,1,1,0,0,0,0,0,1,0,"0,9974873","2,71146","2,71146"
73,A0110,"65,8545","7,34154","4,56079","-11,8764","-17,2743","629,973","1455,06",A,1,1,0,0,0,0,0,1,0,"1,517496","4,56079","4,56079"
74,A0111,"81,8699","4,91531","2,30873","-15,5783","-4,26527","332,155","1745,56",A,1,1,0,0,0,0,0,1,0,"0,8366975","2,30873","2,30873"
75,A0112,"358,781","10,7902","2,18499","-17,1593","4,79719","710,15","1098,35",A,1,1,0,0,0,1,0,0,0,"0,7816112","2,18499","2,18499"
76,A0113,"194,036","1,91472","4,73172","-4,43621","-19,1285","854,042","1000,01",A,1,1,0,0,0,0,1,0,0,"1,554289","4,73172","4,73172"
77,A0114,"98,9726","8,86458","2,76946","-15,8791","-5,0874","1060,74","842,505",A,1,1,0,0,0,0,0,1,0,"1,018652","2,76946","2,76946"
78,A0115,"109,44","8,31609","3,33239","-14,8672","-6,89492","1238,01","715,924",A,1,1,0,0,0,0,0,1,0,"1,20369","3,33239","3,33239"
79,A0116,90,"7,39168","3,5896","-12,9657","-15,1324","1074,11","726,79",A,1,1,0,0,0,0,0,1,0,"1,278041","3,5896","3,5896"
80,A0117,"23,1986","3,5335","4,93959","-3,64696","-12,9876","1287,64","513,214",A,1,1,0,0,0,1,0,0,0,"1,597282","4,93959","4,93959"
81,A0118,"11,3099","2,36745","4,14129","-12,6581","0,721467","1158,59","802,513",A,1,1,0,0,0,1,0,0,0,"1,421007","4,14129","4,14129"
82,A0119,"264,289","4,65848","2,74383","-13,6159","-1,91728","1358,72","745,013",A,1,1,0,0,0,0,0,0,1,"1,009355","2,74383","2,74383"
83,A0120,"97,125","3,74008","2,71785","-15,0521","-16,3245","1681,97","587,705",A,1,1,0,0,0,0,0,1,0,"0,9998411","2,71785","2,71785"
84,A0121,"59,0362","8,07264","3,20258","-14,9328","-6,44526","1557,42","482,454",A,1,1,0,0,0,0,0,1,0,"1,163957","3,20258","3,20258"
85,A0122,"76,3287","8,77569","2,92878","-15,4006","0,73039","1743,89","227,312",A,1,1,0,0,0,0,0,1,0,"1,074586","2,92878","2,92878"
86,A0123,"291,371","5,71784","3,10927","-14,8375","-2,53455","1895,92","466,89",A,1,1,0,0,0,0,0,0,1,"1,134388","3,10927","3,10927"
87,A0124,"63,4349","2,07667","3,72951","-12,0843","-49,8031","2077,7","453,904",A,1,1,0,0,0,0,0,1,0,"1,316277","3,72951","3,72951"
88,A0125,"72,8973","6,29327","2,52886","-15,8692","-4,30127","2310,94","971,986",A,1,1,0,0,0,0,0,1,0,"0,9277686","2,52886","2,52886"
89,A0126,"14,7436","4,55397","1,98169","-16,6307","-48,515","2602,84","988,341",A,1,1,0,0,0,1,0,0,0,"0,6839501","1,98169","1,98169"
90,A0127,90,"1,85759","2,05831","-9,45985","-70,2959","2582,21","982,521",A,1,1,0,0,0,0,0,1,0,"0,7218853","2,05831","2,05831"
91,A0128,"9,46232","5,6334","4,56207","-11,7593","-7,87865","2712,31","913,623",A,1,1,0,0,0,1,0,0,0,"1,517776","4,56207","4,56207"
92,A0129,"82,4054","6,99511","4,01764","-12,3947","-11,4293","2896,29","1096,96",A,1,1,0,0,0,0,0,1,0,"1,390695","4,01764","4,01764"
93,A0130,"6,95296","9,50585","2,65123","-16,0973","2,59","3559,57","1464,84",A,1,1,0,0,0,1,0,0,0,"0,9750237","2,65123","2,65123"
94,A0131,45,"4,26254","4,49239","-12,5968","-1,98217","3624,37","1366,29",A,1,1,0,0,0,1,0,0,0,"1,502385","4,49239","4,49239"
95,A0132,"92,4896","5,33205","4,73974","-12,2705","-2,71729","3484,49","1029,71",A,1,1,0,0,0,0,0,1,0,"1,555982","4,73974","4,73974"
96,A0133,"120,964","1,35416","5,70665","-9,86443","-28,3824","3410,86","473,177",A,1,1,0,0,0,0,0,1,0,"1,741632","5,70665","5,70665"
97,A0134,315,"4,58907","2,58969","-7,91512","-16,8716","3461,03","594,451",A,1,1,0,0,0,1,0,0,0,"0,9515381","2,58969","2,58969"
98,A0135,"323,13","2,32153","5,49856","-4,28686","4,32859","3315,37","739,772",A,1,1,0,0,0,1,0,0,0,"1,704486","5,49856","5,49856"
99,A0136,"74,7449","5,28179","2,85197","-6,96948","3,75928","3711,69","557,013",A,1,1,0,0,0,0,0,1,0,"1,04801","2,85197","2,85197"
100,A0137,"102,995","3,09599","2,97229","-7,69997","-0,07055","3680,55","508,205",A,1,1,0,0,0,0,0,1,0,"1,089333","2,97229","2,97229"
101,A0138,"275,194","2,56391","8,64797","-1,42243","-24,5408","3787,09","631,779",A,1,1,0,0,0,0,0,0,1,"2,157325","8,64797","8,64797"
102,A0139,135,"1,64202","6,94602","-3,65663","-72,117","4170,96","471,807",A,1,1,0,0,0,0,1,0,0,"1,938169","6,94602","6,94602"
103,A0140,"213,69","1,67452","5,65558","-11,0999","-57,1586","4111,88","820,307",A,1,1,0,0,0,0,1,0,0,"1,732643","5,65558","5,65558"
104,A0141,"128,157","8,21451","5,10299","-11,6127","10,9328","3276,51","1979,19",A,1,1,0,0,0,0,0,1,0,"1,629827","5,10299","5,10299"
105,A0142,"259,38","7,51903","4,61851","-12,3984","-15,2663","3208,12","2310,21",A,1,1,0,0,0,0,0,0,1,"1,530072","4,61851","4,61851"
106,A0143,"184,399","3,02575","2,17262","-16,1674","-47,1119","2907,96","2027,98",A,1,1,0,0,0,0,1,0,0,"0,7759339","2,17262","2,17262"
107,A0145,"18,4349","0,734494",,,"-34,8701","1699,31","730,944",A,1,1,0,0,0,1,0,0,0,,,
108,A0146,"93,8141","3,48762","5,64929","-10,6897","10,0917","1212,71","1070,71",A,1,1,0,0,0,0,0,1,0,"1,73153","5,64929","5,64929"
109,A0147,"197,819","13,4126","3,43631","-15,0826","-6,98012","1906,62","1149,58",A,1,1,0,0,0,0,1,0,0,"1,234398","3,43631","3,43631"
110,A0148,"116,565","3,1133","7,63452","-9,1759","-14,6402","1081,66","306,392",A,1,1,0,0,0,0,0,1,0,"2,03268","7,63452","7,63452"
111,A0150,135,"1,97019","5,33973","-3,26254","-31,8308","453,035","881,353",A,1,1,0,0,0,0,1,0,0,"1,675175","5,33973","5,33973"
112,A0151,135,"5,24123","4,69482","-4,47536","-7,79123","577,406","837,986",A,1,1,0,0,0,0,1,0,0,"1,54646","4,69482","4,69482"
113,A0152,"116,565","1,03867","5,16926","-3,99471","-7,40315","486,617","1415,07",A,1,1,0,0,0,0,0,1,0,"1,64273","5,16926","5,16926"
114,A0153,"18,4349","1,46875","4,70098","-12,3142","-27,047","334,644","1796,03",A,1,1,0,0,0,1,0,0,0,"1,547771","4,70098","4,70098"
115,A0154,"268,264","7,62346","4,17266","-13,1307","1,98859","672,71","1713,83",A,1,1,0,0,0,0,0,0,1,"1,428554","4,17266","4,17266"
116,A0155,"119,745","3,74008","4,58864","-11,8488","-31,2333","1142,85","1470,3",A,1,1,0,0,0,0,0,1,0,"1,523584","4,58864","4,58864"
117,A0156,"187,125","3,74008","5,21573","-11,5041","-12,0881","1343,42","1913,66",A,1,1,0,0,0,0,1,0,0,"1,651679","5,21573","5,21573"
118,A0157,90,"1,39341","3,21503","-7,22968","-47,4933","2262,85","1819,42",A,1,1,0,0,0,0,0,1,0,"1,167837","3,21503","3,21503"
119,A0158,0,"1,85759","8,6901","-1,39743","-45,4419","2499,85","1921,83",A,1,1,0,0,0,1,0,0,0,"2,162184","8,6901","8,6901"
120,A0159,"153,435","1,03867","2,19177","-8,80072","-6,95305","2631,45","2002,45",A,1,1,0,0,0,0,1,0,0,"0,7847095","2,19177","2,19177"
121,A0160,"26,5651","2,07667","4,63597","-5,23065","0,284503","2790,28","2235,57",A,1,1,0,0,0,1,0,0,0,"1,533845","4,63597","4,63597"
122,A0161,"63,4349","8,25276","1,65294","-18,3553","-5,37215","3157,23","2411,02",A,1,1,0,0,0,0,0,1,0,"0,5025555","1,80597","1,65294"
123,A0162,"57,5288","3,02575","2,21919","-8,91416","-1,13207","3167,27","2185,79",A,1,1,0,0,0,0,0,1,0,"0,7971422","2,21919","2,21919"
124,A0163,"246,801","1,76843",0,"4,86023","-24,2978","2928,57","2298,53",A,1,1,0,0,0,0,0,0,1,,"1,80597",0
125,A0164,"79,5085","6,35204","5,44442","-12,1468","-20,8146","3183,99","2099,13",A,1,1,0,0,0,0,0,1,0,"1,694591","5,44442","5,44442"
126,A0165,"144,866","7,62346","5,59916","-11,1443","-43,2531","3887,02","1415,8",A,1,1,0,0,0,0,1,0,0,"1,722617","5,59916","5,59916"
127,A0166,"198,435","3,66765","3,15174","-7,25125","-52,0832","4606,1","844,374",A,1,1,0,0,0,0,1,0,0,"1,147955","3,15174","3,15174"
128,A0167,"304,695","3,66765","4,33393","-11,676","-19,0618","4392,75","1056,48",A,1,1,0,0,0,0,0,0,1,"1,466475","4,33393","4,33393"
129,A0168,"277,431","5,3719","3,71656","-14,0041","-1,58905","4079,83","1280,73",A,1,1,0,0,0,0,0,0,1,"1,312799","3,71656","3,71656"
130,A0169,"149,036","5,4016","2,66541","-14,9115","-4,62462",4523,"441,322",A,1,1,0,0,0,0,1,0,0,"0,9803579","2,66541","2,66541"
131,A0170,315,"2,62611","3,15417","-13,7255","-4,2727","4331,37","160,661",A,1,1,0,0,0,1,0,0,0,"1,148725","3,15417","3,15417"
132,A0171,"30,9638","4,05645","4,04026","-5,22799","-10,1199","4315,64","375,592",A,1,1,0,0,0,1,0,0,0,"1,396309","4,04026","4,04026"
133,A0172,90,"8,7578","3,7791","-14,2148","-7,26234","4491,89","609,527",A,1,1,0,0,0,0,0,1,0,"1,329486","3,7791","3,7791"
134,A0173,"339,775","4,69279","2,85102","-14,2279","-21,3986","4034,42","719,943",A,1,1,0,0,0,1,0,0,0,"1,047677","2,85102","2,85102"
135,A0174,"169,992","4,00325","5,01069","-12,2167","-8,23995","4213,72","852,995",A,1,1,0,0,0,0,1,0,0,"1,611574","5,01069","5,01069"
136,A0175,"53,7462","4,3125","8,18653","-9,76208","-9,98375","4079,7","959,847",A,1,1,0,0,0,0,0,1,0,"2,10249","8,18653","8,18653"
137,A0176,"327,265","7,6854","4,87793","-12,9328","-10,4801","3786,61","1283,24",A,1,1,0,0,0,1,0,0,0,"1,584721","4,87793","4,87793"
138,A0177,"14,0362","5,72714","6,26939","-11,3296","-10,3068","3920,94","1290,87",A,1,1,0,0,0,1,0,0,0,"1,835679","6,26939","6,26939"
139,A0178,"329,036","5,4016","5,51613","-11,4071","-45,6361","4029,9","1157,12",A,1,1,0,0,0,1,0,0,0,"1,707677","5,51613","5,51613"
140,A0179,"261,87","4,91531","4,23504","-12,864","-9,71042","3286,31","1130,29",A,1,1,0,0,0,0,0,0,1,"1,443393","4,23504","4,23504"
141,A0180,"276,34","6,28483","3,82731","-13,7587","-8,52049","3136,58","1157,64",A,1,1,0,0,0,0,0,0,1,"1,342162","3,82731","3,82731"
142,A0181,"304,695","3,66765","4,9637","-11,9363","-11,1079","3079,14","973,157",A,1,1,0,0,0,0,0,0,1,"1,602151","4,9637","4,9637"
143,A0182,"63,4349","3,1133","6,31913","-10,1256","-30,69","2872,48","692,511",A,1,1,0,0,0,0,0,1,0,"1,843582","6,31913","6,31913"
144,A0183,"93,3665","7,86147","3,5949","-14,355","-4,60844","3231,8","1002,66",A,1,1,0,0,0,0,0,1,0,"1,279516","3,5949","3,5949"
145,A0184,"105,255","13,0135","2,85395","-16,1197","-3,85019","3270,99","967,471",A,1,1,0,0,0,0,0,1,0,"1,048704","2,85395","2,85395"
146,A0185,"57,9946","8,69787","3,12743","-14,6446","-1,08366","2648,55","848,328",A,1,1,0,0,0,0,0,1,0,"1,140212","3,12743","3,12743"
147,A0186,"310,236","3,94932","2,40505","-8,60363","-11,0113","2411,21","610,953",A,1,1,0,0,0,0,0,0,1,"0,8775707","2,40505","2,40505"
148,A0187,"140,711","3,29768","4,29442","-12,8764","-3,32887","2720,18","919,919",A,1,1,0,0,0,0,1,0,0,"1,457316","4,29442","4,29442"
149,A0188,"6,34019","2,10244","4,13102","-12,265","3,25431","2297,43","584,623",A,1,1,0,0,0,1,0,0,0,"1,418524","4,13102","4,13102"
150,A0189,"13,2405","8,05962","2,78624","-15,7622","-1,78307","2481,52","725,844",A,1,1,0,0,0,1,0,0,0,"1,024693","2,78624","2,78624"
151,A0190,315,"9,43997","3,48573","-14,848","-8,88254","1922,56","226,841",A,1,1,0,0,0,1,0,0,0,"1,248677","3,48573","3,48573"
152,A0191,"32,0054","4,37414","4,70865","-12,5275","-7,10892","1688,81","189,496",A,1,1,0,0,0,1,0,0,0,"1,549401","4,70865","4,70865"
153,A0192,"2,1211","12,3565","2,9853","-15,8359","-0,210448","2091,22","448,149",A,1,1,0,0,0,1,0,0,0,"1,0937","2,9853","2,9853"
154,A0193,"297,646","5,4897","2,90696","-15,0918","-3,54494","2112,39","312,133",A,1,1,0,0,0,0,0,0,1,"1,067108","2,90696","2,90696"
155,A0194,"60,9454","7,13726","5,89977","-10,4792","-20,2696","2104,46","303,813",A,1,1,0,0,0,0,0,1,0,"1,774913","5,89977","5,89977"
156,A0195,"57,5288","3,02575","5,60161","-11,3318","-20,2256","1773,29","440,347",A,1,1,0,0,0,0,0,1,0,"1,723054","5,60161","5,60161"
157,A0196,"5,19443","5,11758","6,11343","-11,2405","-28,3797","1688,73","581,727",A,1,1,0,0,0,1,0,0,0,"1,810488","6,11343","6,11343"
158,A0197,"319,086","4,60072","4,04906","-12,9523","-32,0055","1509,87","733,211",A,1,1,0,0,0,1,0,0,0,"1,398485","4,04906","4,04906"
159,A0198,"98,7462","17,7414","2,20396","-17,6645","-1,68261","946,238","1472,29",A,1,1,0,0,0,0,0,1,0,"0,7902557","2,20396","2,20396"
160,A0199,"89,2927","18,1804","2,48103","-17,1671","-4,11302","918,97","1496,29",A,1,1,0,0,0,0,0,1,0,"0,9086738","2,48103","2,48103"
161,A0200,"20,2249","9,32346","2,3167","-16,7957","-3,18803","1396,84","1053,04",A,1,1,0,0,0,1,0,0,0,"0,8401437","2,3167","2,3167"
162,A0201,"154,29","6,92671","4,40746","-13,1516","-14,1441","855,756","1955,23",A,1,1,0,0,0,0,1,0,0,"1,483299","4,40746","4,40746"
163,A0202,"106,189","7,45564","3,45282","-14,5566","1,11824","987,618","2043,95",A,1,1,0,0,0,0,0,1,0,"1,239191","3,45282","3,45282"
164,A0203,"110,772","7,16682","2,01789","-17,1005","1,33687","1015,23","2165,52",A,1,1,0,0,0,0,0,1,0,"0,7020524","2,01789","2,01789"
165,A0204,"201,038","3,23186","4,88789","-4,27385","-46,6835","845,233","2271,48",A,1,1,0,0,0,0,1,0,0,"1,586761","4,88789","4,88789"
166,A0205,"56,3099","5,01216","6,49189","-10,5858","-30,9528","979,315","2251,53",A,1,1,0,0,0,0,0,1,0,"1,870554","6,49189","6,49189"
167,A0206,0,"0,929039","1,95058","-9,33385","-53,5595","693,521","2334,36",A,1,1,0,0,0,1,0,0,0,"0,6681268","1,95058","1,95058"
168,A0207,"100,008","7,96779","2,65289","-15,984","-0,598522","1168,85","2284,11",A,1,1,0,0,0,0,0,1,0,"0,9756496","2,65289","2,65289"
169,A0208,"18,4349","5,8558","3,34863","-13,3131","-19,3841","944,545","2514,66",A,1,1,0,0,0,1,0,0,0,"1,208551","3,34863","3,34863"
170,A0209,"27,7585","9,87556","3,39138","-14,7483","0,806367","422,554","2023,42",A,1,1,0,0,0,1,0,0,0,"1,221237","3,39138","3,39138"
171,A0210,"35,9097","8,25911","4,4652","-12,2764","1,07142","884,996","2489,21",A,1,1,0,0,0,1,0,0,0,"1,496314","4,4652","4,4652"
172,A0211,"29,7449","14,6535","2,40679","-17,0549","-4,04994","1383,58","2320,22",A,1,1,0,0,0,1,0,0,0,"0,8782939","2,40679","2,40679"
173,A0212,"60,2551","3,74008","4,77977","-12,1228","-23,4784","1249,54","2353,58",A,1,1,0,0,0,0,0,1,0,"1,564392","4,77977","4,77977"
174,A0213,"207,897","8,86458","3,15399","-12,9019","-2,2992","727,91","2332,95",A,1,1,0,0,0,0,1,0,0,"1,148668","3,15399","3,15399"
175,A0214,0,"6,93435","4,06124","-5,48331","-1,43227","1160,73","2709,96",A,1,1,0,0,0,1,0,0,0,"1,401488","4,06124","4,06124"
