OBJECTID;Name;Exposition;Hangneig;Woelbung;LS-Faktor;TWIndex;Pfad_Fluss;Pfad_Dorf
44;C0044;141,9109955;10,79020023;-0,446601987;3,334899902;-15,1317997;1784,5;814,4650269
45;C0045;150,8029938;17,52610016;-2,448139906;2,941129923;-16,19350052;1572,48999;861,1599731
46;C0046;131,6340027;11,04909992;-1,727130055;3,042129993;-15,59119987;1626,040039;834,3099976
47;C0047;148,3249969;12,61999989;2,092400074;2,280930042;-17,20280075;1512,26001;764,5599976
48;C0048;164,4759979;8,613229752;-0,529280007;2,670059919;-16,07710075;1772,829956;596,4899902
49;C0049;135;7,512020111;-1,637300014;4,240149975;-13,41670036;1842,869995;644,6069946
50;C0050;140,9060059;9,489430428;-2,179529905;2,991569996;-15,27350044;1864,170044;687,8330078
51;C0051;106,9280014;5,566810131;0,591100991;3,493469954;-14,21500015;1766,5;621,9550171
52;C0052;153,8860016;12,96700001;1,11868;2,804359913;-16,07329941;1659,569946;569,5629883
53;C0053;125,7890015;12,12860012;-8,120089531;3,303100109;-15,25769997;1562,060059;435,2829895
54;C0054;142,125;7,894859791;-1,477910042;2,895590067;-15,50090027;1241,449951;712,2769775
55;C0055;172,348999;15,32619953;-0,740634024;3,220129967;-15,60620022;1521,040039;503,2279968
56;C0056;131,6340027;11,04909992;-2,451179981;2,086879969;-17,28969955;1372,790039;601,7999878
57;C0057;225;0,328489989;-0,403753012;2,928070068;-6,833859921;214,4960022;539,6950073
58;C0058;106,9280014;11,03050041;3,835129976;3,256949902;-15,35639954;103,9840012;86,37449646
59;C0059;87,51039886;5,332049847;-3,166620016;4,151659966;-13,53149986;256,8510132;202,0070038
60;C0060;30,96380043;5,401599884;-3,466989994;3,163160086;-14,81019974;129,6710052;495,7789917
61;C0061;161,5650024;0,734493971;0,735548973;2,606800079;-14,56869984;85,85199738;275,3450012
62;C0062;163,6860046;19,10499954;1,819000006;2,483890057;-17,15229988;252,6900024;179,3659973
63;C0063;183,8139954;3,487620115;-3,142009974;3,34423995;-13,72630024;333,7579956;767,3359985
64;C0064;26,56509972;8,252759933;3,535559893;2,829400063;-15,75500011;275,3840027;928,7960205
65;C0065;189,4620056;2,823519945;9,535200119;2,236579895;-15,73770046;121,512001;739,1610107
66;C0066;71,56500244;0,734493971;-0,602069974;3,309269905;-13,72140026;128,8880005;778,9719849
67;C0067;8,13010025;3,281349897;-2,838860035;6,774129868;-10,38070011;401,7869873;901,4680176
68;C0068;34,21569824;13,77320004;-9,133219719;2,724280119;-16,45980072;447,7850037;912,5889893
69;C0069;55,61970139;15,64190006;-0,061959799;3,209089994;-15,5958004;702,8109741;855,0629883
70;C0070;36,63410187;11,14610004;2,38767004;3,761940002;-14,4715004;129,8619995;467,9200134
71;C0071;63,43489838;2,076669931;3,446749926;3,709569931;-8,009090424;85,80539703;134,5950012
72;C0072;23,19860077;1,768429995;0,268424004;2,924069881;-6,844649792;202,2299957;344,0559998
73;C0073;130,1349945;15,13300037;-48,05670166;8,89315033;-10,10140038;1566,75;1466,170044
74;C0074;197,7839966;12,71570015;-8,898779869;3,440299988;-15,12069988;1884,349976;1713,400024
75;C0075;100,6699982;15,88910007;-5,652289867;3,334490061;-15,44569969;1390,560059;1332,069946
76;C0076;70,01689911;10,74720001;-4,97329998;3,680130005;-14,60620022;1260,27002;1201,780029
77;C0077;76,7594986;8,059619904;-3,504899979;4,458310127;-13,41180038;214,223999;2200,26001
78;C0078;52,125;5,28178978;-14,01910019;4,585579872;-11,03950024;91,48970032;2193,330078
79;C0079;110,4329987;12,44229984;-2,847419977;3,50948;-14,99750042;257,9200134;2040,390015
80;C0080;97,125;7,448560238;-1,895179987;3,741039991;-14,17669964;265,6619873;1963,380005
81;C0081;131,0549927;9,461979866;-2,082360029;3,408299923;-14,96759987;277,3789978;1874,310059
82;C0082;101,3099976;8,233659744;-3,842350006;3,253139973;-14,74779987;104,1439972;1800,069946
83;C0083;112,9319992;12,89299965;2,162029982;2,751080036;-15,68570042;91,62120056;1634,680054
84;C0084;107,6500015;10,60249996;-14,06669998;2,526259899;-16,37599945;366,4440002;2747,949951
85;C0085;35,53770065;3,989840031;-3,420900106;3,423890114;-13,79319954;251,8059998;2767,080078
86;C0086;347,276001;7,34153986;4,219379902;1,909019947;-17,51959991;152,5980072;2729,050049
87;C0087;345,256012;9,051110268;-3,163980007;2,953350067;-15,47099972;182,6829987;2622,570068
88;C0088;293,9620056;13,47229958;-3,575550079;3,458189964;-15,22200012;563,4349976;2202,219971
89;C0089;68,33399963;17,6637001;0,601830006;2,293879986;-17,4727993;385,8880005;2023,869995
90;C0090;64,98310089;7,644159794;-1,362779975;3,264889956;-13,40190029;146,6849976;1893,790039
91;C0091;71,56500244;2,935570002;-0,738727987;3,665590048;-12,09780025;182,0780029;2143,379883
92;C0092;62,41799927;17,03770065;-3,121829987;2,956190109;-16,33239937;302,2269897;2253,320068
93;C0093;336,8009949;1,768429995;-23,84869957;4,941430092;-5,787280083;128,8880005;2368,409912
94;C0094;225;1,313740015;-12,85620022;1,453320026;-12,63449955;171,75;2264,72998
95;C0095;59,74359894;6,426790237;1,033220053;2,98071003;-14,81910038;207,2180023;2436,300049
96;C0096;345,9639893;1,914720058;5,421929836;3,94472003;-6,989649773;134,1060028;970,3449707
97;C0097;60,94540024;11,78820038;1,126299977;3,255690098;-15,21889973;183,0460052;1349,619995
98;C0098;113,1989975;1,768429995;-2,247879982;3,16505003;-7,13902998;212,526001;568,5599976
99;C0099;85,10089874;8,105119705;1,126629949;3,275899887;-14,81960011;305,0809937;378,9670105
100;C0100;123,6900024;9,948769569;-1,135660052;3,188570023;-15,24839973;460,1700134;472,0859985
101;C0101;129,0939941;18,48509979;0,45095101;2,691610098;-16,7112999;561,5910034;568,9310303
102;C0102;124,9919968;11,19659996;-3,578490019;3,353209972;-15,11740017;489,131012;312,1260071
103;C0103;180;6,017069817;1,182090044;3,101279974;-14,96220016;398,2260132;281,1140137
104;C0104;110,8539963;20,02249908;-2,177979946;3,00135994;-16,12870026;2073,600098;3153,280029
105;C0105;98,13009644;14,4666996;-0,400909007;2,815639973;-16,13759995;2016,400024;3103,110107
106;C0106;277,3059998;9,056879997;-6,914360046;2,807960033;-15,80580044;1072,839966;2390,370117
107;C0107;353,0469971;9,505849838;2,899389982;4,62541008;-13,3519001;985,1420288;2534,820068
108;C0108;0;4,6354599;-2,288389921;5,210680008;-11,82740021;881,289978;2548,830078
109;C0109;3,179830074;8,31608963;-22,92289925;9,56182003;-9,773719788;584,1090088;2831,23999
110;C0110;10,17549992;9,125729561;-4,528269768;3,892339945;-14,21469975;1411,089966;1661,280029
111;C0111;107,4469986;16,56609917;-4,292779922;2,648489952;-16,68610001;761,4810181;464,5559998
112;C0112;160,7100067;9,748680115;-7,02947998;5,403399944;-12,63220024;770,9169922;399,1040039
113;C0113;30,75;20,43860054;1,857030034;2,176369905;-17,92169952;532,6859741;515,973999
114;C0114;26,99580002;13,55749989;1,059149981;2,794070005;-16,27809906;461,5169983;407,7520142
115;C0115;57,8042984;7,370240211;-21,84799957;2,905040026;-15,30749989;238,5890045;323,7030029
116;C0116;46,7356987;10,71850014;-1,061730027;3,404959917;-14,96520042;335,0230103;182,3739929
117;C0117;93,01280212;4,410699844;-16,99760056;3,515110016;-13,06669998;273,3070068;146,8899994
118;C0118;112,0680008;9,194040298;2,154750109;3,605439901;-14,62940025;344,4760132;189,6399994
119;C0119;82,875;7,448560238;-6,061769962;3,84671998;-11,91670036;268,5180054;665,2390137
120;C0120;99,29329681;12,73159981;-1,08991003;2,461479902;-16,73660088;259,0419922;549,1480103
121;C0121;42,56340027;15,09399986;0,335610002;2,9760499;-16,08390045;305,3569946;743,9849854
122;C0122;117,5530014;11,87860012;-0,188279003;2,881249905;-15,86550045;594,0230103;745,9019775
123;C0123;104,2369995;15,65439987;-1,473340034;2,785409927;-16,33130074;810,3800049;898,8800049
124;C0124;81,02739716;4,45897007;-4,314420223;4,441050053;-12,62650013;749,6879883;991,992981
125;C0125;105,6419983;11,88710022;1,159420013;2,806519985;-16,04190063;367,2780151;1136,890015
126;C0126;114,9049988;14,05259991;-0,320214003;2,578370094;-16,67980003;369,4240112;1075,810059
127;C0127;110,0559998;15,21070004;5,122200012;3,341850042;-15,41020012;244,7489929;920,7960205
128;C0128;135;5,241230011;2,587990046;3,174109936;-13,56499958;242,875;1181,829956
129;C0129;7,594639778;13,7876997;-23,39119911;5,189199924;-13,14970016;6660,339844;2633,22998
130;C0130;318,2399902;16,92770004;-1,39447999;2,356859922;-17,21299934;6962,930176;2179,870117
131;C0131;341,5650024;7,305500031;-41,72900009;16,4659996;-6,803030014;7023,839844;2246,25
132;C0132;321,3399963;5,928030014;-27,5734005;2,181550026;-16,62150002;6929,459961;2166,110107
133;C0133;103,5699997;6,896090031;-8,225150108;2,895030022;-15,30630016;6841,609863;2086,080078
134;C0134;94,26789856;15,23639965;-1,980790019;2,686290026;-16,49860001;6871,169922;2116,709961
135;C0135;112,7509995;7,760399818;-2,871370077;2,519040108;-16,23130035;6869,890137;2112,77002
136;C0136;158,9620056;6,44328022;-21,69610023;8,688630104;-9,758020401;6659,52002;1929,599976
137;C0137;126,0690002;22,10969925;-1,253610015;2,36232996;-17,7465992;6745,549805;2015,630005
138;C0138;121,5039978;8,385169983;-3,482450008;2,837009907;-15,50640011;6730,100098;2000,180054
139;C0139;155,5559998;5,595449924;-6,588600159;10,45049953;-8,69408989;6711,350098;1975,609985
140;C0140;180,8300018;15,62940025;-10,34710026;2,038820028;-17,99810028;6770,140137;2018,150024
141;C0141;173,2899933;15,51340008;-4,671989918;3,762099981;-14,52649975;6553,620117;1795,390015
142;C0142;146,8209991;14,13729954;-1,473559976;2,748680115;-16,3567009;6470,27002;1740,47998
143;C0143;86,63349915;7,861470222;-18,09259987;7,299019814;-10,51780033;6347,600098;1617,819946
144;C0144;149,5339966;9,085630417;-12,37010002;10,14080048;-9,234049797;6308,149902;1614,030029
145;C0145;126,5289993;15,23970032;2,540780067;3,279700041;-15,60579967;6416,290039;2115,159912
146;C0146;145,5390015;14,07730007;-0,243067995;3,425909996;-15,20009995;5893;2350,149902
147;C0147;114,677002;18,27070045;-2,071650028;2,873919964;-16,41419983;7041,799805;2410,459961
148;C0148;353,6600037;2,102440119;-57,7195015;14,4843998;1,146569967;5327,759766;4637,919922
149;C0149;341,5650024;1,46875;-38,84680176;14,49699974;1,113649964;5292,899902;4565,799805
150;C0150;8,972629547;8,864580154;-4,194759846;3,407380104;-6,335909843;5681,279785;3996,310059
151;C0151;147,6529999;16,06240082;-36,56909943;2,177449942;-9,181070328;5175,740234;3503,159912
152;C0152;53,13010025;9,211030006;3,173840046;4,655509949;-13,27569962;7094,259766;4184,169922
153;C0153;204,5670013;17,3295002;0,526305974;4,081769943;-14,71930027;7138,870117;4125,720215
154;C0154;63,43489838;2,076669931;-50,91009903;11,99139977;-7,031509876;7438,620117;3860,669922
155;C0155;71,56500244;1,46875;-2,973550081;1,416749954;-12,27700043;7338,589844;3956,129883
156;C0156;124,6949997;3,667649984;-24,0163002;12,17490005;0,27809599;8795,459961;1276,969971
157;C0157;149,9309998;10,09350014;-1,702119946;2,987010002;-3,830430031;8733,19043;1284,219971
158;C0158;52,125;2,646519899;-8,426099777;3,231460094;-7,504459858;8737,219727;632,8389893
159;C0159;103,6709976;8,775690079;-50,06200027;4,453350067;-12,57789993;8876,650391;733,5640259
160;C0160;166,3289948;8,775690079;14,84969997;2,67572999;-15,96459961;8346,669922;328,8340149
161;C0161;338,9620056;6,44328022;-1,884780049;3,27651;-12,70049953;8485,820313;159,2330017
162;C0162;332,1029968;13,16720009;-2,090240002;5,099160194;-12,48970032;8533,950195;262,7420044
163;C0163;51,34019852;2,971970081;1,836269975;9,837349892;-8,84360981;8756,730469;220,8110046
164;C0164;30,3791008;7,760399818;-9,066419601;4,10078001;-13,00409985;8913,570313;159,151001
165;C0165;149,0359955;5,401599884;-0,668286026;14,79699993;1,190019965;8889;274,6719971
166;C0166;213,1790009;14,13729954;-0,038987;2,600680113;-16,33460045;8914,759766;152,4320068
167;C0167;251,5650024;0,734493971;-13,89799976;4,27670002;-5,427110195;8595,129883;394,053009
168;C0168;23,62940025;8,059619904;-8,275440216;2,834359884;-15,6473999;5676,689941;1193,410034
169;C0169;129,6849976;13,90649986;-49,55599976;3,110019922;-15,73910046;5456,689941;1031,140015
170;C0170;151,3139954;13,76229954;0,531261981;3,411459923;-15,07960033;5509,02002;1002,25
171;C0171;331,5039978;9,171330452;-55,02090073;2,945080042;-15,60910034;5284,930176;924,9539795
172;C0172;351,572998;12,47889996;-3,060709953;3,176719904;-15,45269966;5178,609863;1005,109985
173;C0173;115,3460007;9,673839569;-3,887239933;3,08491993;-15,31840038;5070,509766;838,0670166
174;C0174;157,5429993;18,21139908;-2,280329943;2,740060091;-16,45980072;4929,189941;759,5230103
175;C0175;328,3250122;12,61999989;-0,266750991;3,571680069;-14,5383997;4704,25;823,4379883
176;C0176;351,8699951;3,281349897;-54,21530151;2,259279966;-8,415530205;4741,189941;737,3070068
177;C0177;342,8970032;12,43830013;3,407490015;4,635940075;-4,816830158;4506,490234;885,302002
178;C0178;288,4349976;21,6739006;-1,810799956;2,69137001;-15,79020023;4362,120117;977,9890137
179;C0179;49,2364006;8,823220253;-2,190819979;2,936719894;-7,104290009;4374,97998;869,8129883
180;C0180;307,875;2,646519899;-53,51620102;3,099090099;-7,25797987;4261,990234;936,8950195
181;C0181;296,5650024;9,267419815;-1,064450026;2,689440012;-7,968389988;4194,22998;984,7880249
182;C0182;319,3989868;12,64000034;0,456090987;3,939960003;-5,464300156;4065,080078;1010,320007
183;C0183;270,9389954;13,89220047;-17,28359985;3,68956995;-5,963220119;4033,72998;1030,829956
184;C0184;105,9449997;3,378129959;-28,35820007;9,244830132;-8,235549927;4099,169922;686,5839844
185;C0185;119,9319992;8,775690079;-24,0807991;9,155079842;-10,20330048;4232,52002;544,9869995
186;C0186;126,9830017;22,34670067;1,337329984;2,211760044;-17,91340065;4412,930176;380,5580139
187;C0187;94,3986969;3,025749922;-17,4008007;8,9500103;-8,857720375;4450,5;324,7279968
188;C0188;99,688797;9,571260452;-22,12179947;7,7979002;-10,81000042;4567,25;208,723999
189;C0189;87,13760376;9,22233963;-5,971330166;3,629209995;-14,52729988;4991,109863;203,3760071
190;C0190;142,125;17,92970085;1,756109953;2,189650059;-17,71369934;5212,680176;699,7769775
191;C0191;168,3410034;14,61639977;-0,470209002;2,974989891;-15,95440006;5334,529785;820,5440063
192;C0192;136,4320068;12,92029953;-1,889670014;3,496439934;-15,00450039;5437,919922;896,8239746
193;C0193;153,121994;18,3553009;-3,57329011;2,883820057;-16,39259911;5023,72998;805,8759766
194;C0194;61,22019958;18,18040085;-6,355979919;3,93460989;-14,86590004;3362,409912;257,2099915
195;C0195;90;12,79090023;-1,512989998;4,29734993;-13,95040035;3620,48999;337,0559998
196;C0196;78,69010162;5,901050091;-7,030290127;4,127830029;-13,20530033;3498,449951;215,5050049
197;C0197;47,29059982;8,163220406;-5,118989944;4,888519764;-12,95119953;4188,640137;905,8250122
198;C0198;65,77230072;10,08320045;-1,114930034;3,403830051;-14,95479965;4511,819824;1222,219971
199;C0199;74,87599945;17,26339912;-1,817309976;3,032160044;-16,11129951;4740,310059;1273,910034
200;C0200;143,1300049;11,45880032;-3,423939943;2,93633008;-15,66040039;3668,459961;410,2420044
201;C0201;60,52410126;17,81329918;0,115068004;2,532619953;-16,99869919;3957,389893;675,0629883
202;C0202;104,0360031;9,489430428;-2,798690081;4,446660042;-13,42490005;4300,629883;1150,5
203;C0203;96,5463028;13,97799969;-0,650951982;3,198889971;-15,55879974;3643,73999;907,7520142
204;C0204;112,3799973;20,43860054;0,397370994;2,664269924;-16,9102993;3780,97998;1128,670044
205;C0205;89,11859894;14,76430035;-4,256919861;2,761490107;-16,41720009;3445,620117;495,7149963
206;C0206;172,875;14,6534996;1,642689943;2,291549921;-17,2364006;3407,129883;590,0050049
207;C0207;80,53769684;8,416370392;-1,431910038;3,606990099;-14,47130013;3187,350098;420,4339905
208;C0208;171,6340027;15,56999969;-5,639369965;4,678939819;-13,72410011;2978,629883;505,9249878
209;C0209;121,5039978;8,385169983;0,831902027;1,898790002;-17,70359993;3245,159912;268,5899963
210;C0210;117,3499985;7,540040016;2,062139988;2,624850035;-15,99180031;3073,699951;262,8599854
211;C0211;109,6539993;6,873030186;-3,05340004;2,323299885;-16,4340992;3159,540039;176,9730072
212;C0212;158,7489929;8,899869919;-3,456899881;6,182740211;-11,97049999;2896,040039;388,0429993
213;C0213;329,0360107;4,05644989;-0,746116996;3,575870037;-13,09659958;3044,419922;239,9250031
214;C0214;347,0050049;6,173999786;-7,481309891;5,196199894;-11,81000042;2756,52002;527,7979736
215;C0215;138,9450073;9,461979866;0,986938;3,735229969;-13,93130016;2615,280029;668,8530273
216;C0216;321,5820007;8,533840179;-31,98200035;4,806099892;-12,96749973;2333,810059;1414,209961
217;C0217;14,9314003;14,13020039;-14,1942997;2,934550047;-16,06349945;1943,5;1015,679993
218;C0218;270,881012;14,76430035;-11,61480045;1,989840031;-18,05940056;1912,280029;954,8549805
219;C0219;116,5650024;9,267419815;2,77677989;3,689409971;-14,38640022;2187,929932;887,4489746
220;C0220;132,2740021;6,873030186;-0,348017991;3,319139957;-14,5230999;2873,909912;840,8189697
221;C0221;122,0930023;15,76609993;-1,130679965;3,176719904;-15,59360027;2932,060059;1101,219971
222;C0222;99,46230316;8,416370392;1,760110021;3,037930012;-15,32979965;2690,879883;1038,910034
223;C0223;106,6989975;9,609189987;-1,044870019;3,588040113;-14,62170029;2780,27002;1098,630005
224;C0224;133,4519958;11,98099995;-2,030669928;3,819619894;-14,5145998;2849,899902;901,8950195
225;C0225;120,5299988;10,40120029;-0,248365;3,642100096;-14,53359985;2561,47998;1166,73999
226;C0226;116,5650024;8,252759933;1,173429966;2,97645998;-15,29889965;2692,830078;1098,310059
227;C0227;132,5099945;7,519030094;-4,114329815;4,000179768;-13,68959999;2433,860107;1133,380005
228;C0228;141,5820007;8,533840179;-1,738870025;4,529709816;-13,26360035;2304,669922;1004,190002
229;C0229;85,23639679;11,04909992;-1,003890038;3,547070026;-14,82339954;2315,73999;1019,419983
230;C0230;81,86990356;11,34659958;-7,06867981;4,639830112;-13,47550011;2176,76001;879,9130249
231;C0231;356,4240112;7,405950069;0,082085297;2,838500023;-15,0571003;1987,699951;862,6740112
232;C0232;329,0360107;5,401599884;-4,419859886;2,494659901;-15,58930016;1741,630005;683,7600098
233;C0233;293,4049988;16,48740005;-7,416669846;3,432260036;-15,43340015;1387,119995;771,7719727
234;C0234;347,4710083;12,64000034;0,606302023;3,533469915;-15,08100033;1605,76001;783,3560181
235;C0235;309,8059998;10,7567997;-1,057039976;2,849339962;-15,93159962;1520,099976;674,4130249
236;C0236;296,5650024;13,26220036;-3,674269915;3,683559895;-14,80630016;1448,280029;669,5540161
237;C0237;64,29000092;6,926710129;1,202180028;3,919670105;-13,73810005;1824,48999;595,0819702
238;C0238;8,13010025;3,281349897;-26,35009956;2,471299887;-15,74969959;1788,180054;492,2940063
239;C0239;127,3040009;12,08240032;-6,085100174;2,284590006;-17,22599983;1527,880005;351,8479919
240;C0240;120,9639969;1,354159951;-26,33169937;17,26709938;-4,418630123;1089,27002;215,1860046
241;C0241;30,96380043;1,354159951;-4,332620144;1,644039989;-16,86919975;850,1370239;465,9339905
242;C0242;114,4440002;2,804409981;-13,00940037;2,440289974;-15,30189991;1665,319946;453,5480042
243;C0243;344,9320068;12,31540012;-9,129179955;3,440190077;-15,06280041;951,4520264;735,0750122
244;C0244;6,546289921;13,97799969;2,523710012;3,644419909;-14,91009998;779,9299927;633,5219727
245;C0245;1,789909959;14,55200005;-0,029529;3,657160044;-15,01259995;821,1539917;673,9439697
246;C0246;157,6199951;12,60389996;1,681020021;3,040770054;-15,69979954;1292,040039;590,2880249
247;C0247;125,538002;11,81840038;-8,600489616;3,145149946;-15,48600006;2033,819946;804,4580078
248;C0248;104,348999;10,20049953;0,487637997;3,278049946;-14,94939995;2043,26001;921,6129761
249;C0249;157,6199951;12,60389996;-1,499879956;4,177490234;-14,05309963;2279,050049;987,6010132
250;C0250;100,7129974;8,67980957;-0,394288003;4,069519997;-13,97000027;2392,76001;1209,569946
251;C0251;97,43139648;5,371900082;2,18460989;3,637759924;-14,01259995;2240,48999;1156,900024
252;C0252;102,2649994;10,80449963;-0,493360996;3,030950069;-15,26519966;2142,320068;1220,920044
253;C0253;0;1,85758996;2,597330093;3,567929983;-12,29990005;674,9630127;628,2930298
254;C0254;135;0,985383987;-6,632750034;2,381850004;-8,757530212;1420,660034;60,69829941
255;C0255;251,5650024;0,734493971;-3,155810118;12,41419983;-0,325273991;1434,469971;262,6719971
256;C0256;78,69010162;2,367449999;2,917520046;5,851709843;-3,385109901;1645;354,1650085
257;C0257;290,322998;13,14039993;2,879450083;3,113679886;-14,06120014;1528,920044;285,8500061
258;C0258;218,6600037;2,971970081;-14,49530029;4,396249771;-5,512279987;1684,180054;133,9069977
259;C0259;234,4620056;1,997339964;-3,098279953;2,289999962;-14,8696003;73,27610016;152,625
260;C0260;204,4440002;2,804409981;-25,58060074;8,183930397;-9,435409546;159,1100006;116,586998
261;C0261;165,9640045;1,914720058;-7,63436985;8,166219711;-9,204959869;189,4660034;128,9470062
262;C0262;259,9020081;16,73089981;-12,1008997;2,350670099;-17,2942009;262,677002;177,0910034
263;C0263;167,470993;4,275080204;-3,487620115;4,054359913;-13,29510021;245,1889954;91,34290314
264;C0264;201,0379944;3,231859922;-24,12269974;7,955820084;-10,05780029;350,4609985;220,470993
265;C0265;315;0,328489989;-20,30150032;25,68440056;2,636310101;30,33270073;202,1300049
266;C0266;168,6900024;2,367449999;6,829339981;1,854269981;-16,67569923;73,34200287;42,90850067
267;C0267;250,201004;6,14812994;-2,457449913;3,118619919;-14,07549953;177,0339966;133,9940033
268;C0268;142,8529968;18,55590057;-1,872849941;3,032459974;-16,11510086;122,1320038;477,6350098
269;C0269;216,2539978;4,3125;-4,828889847;1,570629954;-18,01720047;60,73120117;452,3519897
270;C0270;238,3930054;7,0553298;-11,88700008;2,811419964;-15,47119999;411,0559998;537,9420166
271;C0271;151,6990051;6,826660156;-20,75740051;3,953480005;-13,94390011;991,901001;796,6209717
272;C0272;185,0420074;15,46930027;2,066800117;4,601160049;-13,86810017;897,7340088;997,052002
273;C0273;183,2400055;12,14529991;3,78098011;2,538239956;-16,57180023;60,94440079;558,4959717
274;C0274;190,3049927;5,17979002;4,320670128;5,645160198;-11,29230022;30,34910011;666,6749878
275;C0275;192,0950012;6,621850014;2,891540051;4,985099792;-12,48939991;60,99380112;788,1380005
276;C0276;196,1889954;7,455639839;5,327429771;3,195310116;-13,70030022;30,39850044;807,2739868
277;C0277;132,6139984;15,39949989;1,728929996;2,636559963;-16,73220062;165,9620056;653,1760254
278;C0278;127,2350006;7,254730225;8,095190048;3,69652009;-14,23659992;73,49210358;610,0120239
279;C0279;198,4349976;7,305500031;2,987809896;2,435410023;-15,75249958;30,39850044;600,059021
280;C0280;205,345993;4,871640205;0,161631003;5,451720238;-11,56989956;122,0039978;467,3590088
281;C0281;229,6349945;12,01490021;-5,456560135;4,300799847;-14,11830044;248,4550018;339,70401
282;C0282;277,4309998;5,371900082;-1,648519993;5,154669762;-12,19820023;171,8090057;248,0359955
