OBJECTID;Name;Exposition;Hangneig;LS-Faktor;TWIndex;Woelbung;Pfad_Fluss;Pfad_Dorf
76;A0113;194,0359955;1,914720058;4,731719971;-4,436210155;-19,12849998;854,0419922;1000,01001
77;A0114;98,97260284;8,864580154;2,769459963;-15,87909985;-5,08739996;1060,73999;842,5050049
78;A0115;109,4400024;8,31608963;3,33239007;-14,8671999;-6,894919872;1238,01001;715,9240112
79;A0116;90;7,391679764;3,589600086;-12,96570015;-15,13239956;1074,109985;726,789978
80;A0117;23,19860077;3,533499956;4,939589977;-3,64696002;-12,98760033;1287,640015;513,2139893
81;A0118;11,30990028;2,367449999;4,141290188;-12,65810013;0,721467018;1158,589966;802,5130005
82;A0119;264,2890015;4,658480167;2,743829966;-13,61590004;-1,917279959;1358,719971;745,0130005
83;A0120;97,125;3,740080118;2,71784997;-15,05210018;-16,32449913;1681,969971;587,7050171
84;A0121;59,03620148;8,072640419;3,202579975;-14,93280029;-6,445260048;1557,420044;482,45401
85;A0122;76,3286972;8,775690079;2,928780079;-15,40060043;0,730390012;1743,890015;227,3119965
86;A0123;291,3710022;5,717840195;3,109270096;-14,83749962;-2,534549952;1895,920044;466,8900146
87;A0124;63,43489838;2,076669931;3,729510069;-12,08430004;-49,80310059;2077,699951;453,9039917
88;A0125;72,89730072;6,293270111;2,528860092;-15,86919975;-4,301270008;2310,939941;971,9860229
89;A0126;14,74359989;4,55396986;1,981690049;-16,63069916;-48,51499939;2602,840088;988,3410034
90;A0127;90;1,85758996;2,058310032;-9,459850311;-70,29589844;2582,209961;982,5209961
91;A0128;9,462320328;5,633399963;4,562069893;-11,75930023;-7,878650188;2712,310059;913,6229858
92;A0129;82,40540314;6,995110035;4,017640114;-12,39470005;-11,42930031;2896,290039;1096,959961
93;A0130;6,952960014;9,505849838;2,651230097;-16,09729958;2,589999914;3559,570068;1464,839966
94;A0131;45;4,262539864;4,492390156;-12,59679985;-1,982169986;3624,370117;1366,290039
95;A0132;92,48960114;5,332049847;4,739739895;-12,27050018;-2,717289925;3484,48999;1029,709961
96;A0133;120,9639969;1,354159951;5,70664978;-9,864430428;-28,38240051;3410,860107;473,177002
97;A0134;315;4,589069843;2,58968997;-7,915120125;-16,8715992;3461,030029;594,4509888
98;A0135;323,1300049;2,321530104;5,498559952;-4,286859989;4,328589916;3315,370117;739,7719727
99;A0136;74,74490356;5,28178978;2,851969957;-6,969480038;3,759279966;3711,689941;557,0130005
100;A0137;102,9950027;3,095989943;2,972290039;-7,699969769;-0,070550203;3680,550049;508,2049866
101;A0138;275,1940002;2,563910007;8,6479702;-1,422430038;-24,54080009;3787,090088;631,7789917
102;A0139;135;1,642019987;6,946020126;-3,656630039;-72,11699677;4170,959961;471,8070068
103;A0140;213,6900024;1,674520016;5,655580044;-11,09990025;-57,15859985;4111,879883;820,3070068
104;A0141;128,1569977;8,214509964;5,10299015;-11,61270046;10,93280029;3276,51001;1979,189941
105;A0142;259,3800049;7,519030094;4,618509769;-12,39840031;-15,2663002;3208,120117;2310,209961
106;A0143;184,3990021;3,025749922;2,172620058;-16,16740036;-47,11190033;2907,959961;2027,97998
107;A0145;18,43490028;0,734493971;NA;NA;-34,87009811;1699,310059;730,9439697
108;A0146;93,81410217;3,487620115;5,649290085;-10,68970013;10,0916996;1212,709961;1070,709961
109;A0147;197,8190002;13,41259956;3,436310053;-15,08259964;-6,980120182;1906,619995;1149,579956
110;A0148;116,5650024;3,113300085;7,634520054;-9,175900459;-14,64019966;1081,660034;306,3919983
111;A0150;135;1,970190048;5,339729786;-3,262540102;-31,8307991;453,0350037;881,3530273
112;A0151;135;5,241230011;4,694819927;-4,475359917;-7,791230202;577,4060059;837,9860229
113;A0152;116,5650024;1,038669944;5,169260025;-3,994709969;-7,403150082;486,6170044;1415,069946
114;A0153;18,43490028;1,46875;4,700980186;-12,3142004;-27,04700089;334,6440125;1796,030029
115;A0154;268,2640076;7,623459816;4,172659874;-13,13070011;1,988590002;672,710022;1713,829956
116;A0155;119,7450027;3,740080118;4,588640213;-11,84879971;-31,23329926;1142,849976;1470,300049
117;A0156;187,125;3,740080118;5,21573019;-11,50409985;-12,08810043;1343,420044;1913,660034
118;A0157;90;1,393409967;3,215029955;-7,229680061;-47,49330139;2262,850098;1819,420044
119;A0158;0;1,85758996;8,690099716;-1,397429943;-45,44189835;2499,850098;1921,829956
120;A0159;153,4349976;1,038669944;2,191770077;-8,800720215;-6,953050137;2631,449951;2002,449951
121;A0160;26,56509972;2,076669931;4,635970116;-5,230649948;0,284503013;2790,280029;2235,570068
122;A0161;63,43489838;8,252759933;1,652940035;-18,3553009;-5,372149944;3157,22998;2411,02002
123;A0162;57,52880096;3,025749922;2,219189882;-8,914159775;-1,132069945;3167,27002;2185,790039
124;A0163;246,8009949;1,768429995;0;4,860229969;-24,29780006;2928,570068;2298,530029
125;A0164;79,50849915;6,352039814;5,444419861;-12,14680004;-20,81459999;3183,98999;2099,129883
126;A0165;144,8659973;7,623459816;5,599160194;-11,14430046;-43,25310135;3887,02002;1415,800049
127;A0166;198,4349976;3,667649984;3,151740074;-7,25124979;-52,08319855;4606,100098;844,3740234
128;A0167;304,6950073;3,667649984;4,333930016;-11,67599964;-19,0618;4392,75;1056,47998
129;A0168;277,4309998;5,371900082;3,716559887;-14,00409985;-1,589050055;4079,830078;1280,72998
130;A0169;149,0359955;5,401599884;2,665410042;-14,91149998;-4,624619961;4523;441,321991
131;A0170;315;2,626110077;3,154170036;-13,72550011;-4,272699833;4331,370117;160,6609955
132;A0171;30,96380043;4,05644989;4,040259838;-5,22799015;-10,11989975;4315,640137;375,5920105
133;A0172;90;8,757800102;3,779099941;-14,21479988;-7,262340069;4491,890137;609,5269775
134;A0173;339,7749939;4,692790031;2,851020098;-14,22789955;-21,39859962;4034,419922;719,9429932
135;A0174;169,9920044;4,003250122;5,010690212;-12,2166996;-8,23995018;4213,720215;852,9949951
136;A0175;53,74620056;4,3125;8,186530113;-9,762080193;-9,983750343;4079,699951;959,8469849
137;A0176;327,2650146;7,685400009;4,877930164;-12,93280029;-10,48009968;3786,610107;1283,23999
138;A0177;14,03619957;5,72713995;6,269390106;-11,32960033;-10,30679989;3920,939941;1290,869995
139;A0178;329,0360107;5,401599884;5,516129971;-11,40709972;-45,63610077;4029,899902;1157,119995
140;A0179;261,8699951;4,915309906;4,235040188;-12,86400032;-9,710419655;3286,310059;1130,290039
141;A0180;276,3399963;6,284830093;3,827310085;-13,75870037;-8,520489693;3136,580078;1157,640015
142;A0181;304,6950073;3,667649984;4,963699818;-11,93630028;-11,10789967;3079,139893;973,1569824
143;A0182;63,43489838;3,113300085;6,319129944;-10,12559986;-30,69000053;2872,47998;692,5109863
144;A0183;93,36650085;7,861470222;3,594899893;-14,35499954;-4,608439922;3231,800049;1002,659973
145;A0184;105,2549973;13,01350021;2,853950024;-16,11969948;-3,850189924;3270,98999;967,4710083
146;A0185;57,99459839;8,697870255;3,127429962;-14,64459991;-1,083660007;2648,550049;848,3280029
147;A0186;310,2359924;3,949320078;2,405050039;-8,603630066;-11,01130009;2411,209961;610,9530029
148;A0187;140,7109985;3,297679901;4,294419765;-12,87639999;-3,328870058;2720,179932;919,9190063
149;A0188;6,340189934;2,102440119;4,131020069;-12,26500034;3,254309893;2297,429932;584,6229858
150;A0189;13,24050045;8,059619904;2,786240101;-15,76220036;-1,783069968;2481,52002;725,8439941
151;A0190;315;9,439970016;3,485729933;-14,84799957;-8,882539749;1922,560059;226,8410034
152;A0191;32,00540161;4,374139786;4,708650112;-12,52750015;-7,108920097;1688,810059;189,4960022
153;A0192;2,121099949;12,35649967;2,985300064;-15,83590031;-0,210447997;2091,219971;448,1489868
154;A0193;297,6459961;5,489699841;2,906960011;-15,09179974;-3,544939995;2112,389893;312,1329956
155;A0194;60,94540024;7,13725996;5,899769783;-10,47920036;-20,26959991;2104,459961;303,8129883
156;A0195;57,52880096;3,025749922;5,601610184;-11,33180046;-20,22559929;1773,290039;440,3469849
157;A0196;5,194429874;5,117579937;6,113430023;-11,24050045;-28,37969971;1688,72998;581,7269897
158;A0197;319,0859985;4,600719929;4,049059868;-12,95230007;-32,00550079;1509,869995;733,2109985
159;A0198;98,74620056;17,74139977;2,203959942;-17,66449928;-1,682610035;946,2379761;1472,290039
160;A0199;89,29270172;18,18040085;2,481029987;-17,16710091;-4,113019943;918,9699707;1496,290039
161;A0200;20,22489929;9,323459625;2,316699982;-16,79570007;-3,188030005;1396,839966;1053,040039
162;A0201;154,2899933;6,926710129;4,407460213;-13,15159988;-14,14410019;855,7559814;1955,22998
163;A0202;106,189003;7,455639839;3,452820063;-14,55659962;1,118239999;987,617981;2043,949951
164;A0203;110,7720032;7,166820049;2,017889977;-17,10050011;1,336869955;1015,22998;2165,52002
165;A0204;201,0379944;3,231859922;4,887889862;-4,273849964;-46,68349838;845,2329712;2271,47998
166;A0205;56,30989838;5,012159824;6,491889954;-10,58580017;-30,95280075;979,3150024;2251,530029
167;A0206;0;0,929039001;1,950580001;-9,333849907;-53,55950165;693,5209961;2334,360107
168;A0207;100,0080032;7,967790127;2,652889967;-15,98400021;-0,598522007;1168,849976;2284,110107
169;A0208;18,43490028;5,855800152;3,348629951;-13,31309986;-19,38409996;944,5449829;2514,659912
170;A0209;27,75849915;9,875559807;3,391380072;-14,7482996;0,80636698;422,5539856;2023,420044
171;A0210;35,90969849;8,259110451;4,465199947;-12,27639961;1,071419954;884,9959717;2489,209961
172;A0211;29,74489975;14,6534996;2,406790018;-17,05489922;-4,049940109;1383,579956;2320,219971
173;A0212;60,25510025;3,740080118;4,779769897;-12,12279987;-23,47839928;1249,540039;2353,580078
174;A0213;207,8970032;8,864580154;3,15399003;-12,90190029;-2,299200058;727,9099731;2332,949951
175;A0214;0;6,934350014;4,061240196;-5,483310223;-1,43227005;1160,72998;2709,959961
176;A0215;123,2320023;8,000709534;2,592269897;-8,04695034;2,360790014;1210,560059;2646,530029
177;A0216;125,538002;3,989840031;7,044099808;-2,727440119;-0,114118002;978,1879883;2582,610107
178;A0217;34,99200058;11,19659996;5,093679905;-13,02439976;-5,979149818;1137,26001;2740,080078
179;A0218;62,26580048;23,95479965;3,140010118;-16,31119919;-4,651480198;1191,790039;2789,280029
180;A0219;16,99080086;16,97290039;2,494839907;-16,81800079;5,348599911;1374,180054;2591,330078
181;A0220;22,03619957;20,17230034;4,814139843;-13,95219994;-3,431240082;1496,550049;2525,179932
182;A0221;76,42960358;13,59799957;2,247780085;-17,35589981;2,698110104;1657,02002;2282,080078
183;A0222;316,8479919;10,08320045;2,229579926;-16,38750076;-59,61380005;1684,060059;2085,550049
184;A0223;90,74410248;17,33779907;3,576400042;-15,29020023;-8,098340034;1880,609985;2026,920044
185;A0224;117,8970032;13,16720009;3,883739948;-14,57289982;-13,39039993;1775,859985;2024,75
186;A0225;95,38929749;12,17870045;3,232330084;-15,29580021;-6,89659977;1755,140015;1730,859985
187;A0226;131,3090057;10,09860039;4,142089844;-13,85140038;-3,896709919;1786,77002;2246,139893
188;A0227;43,21009827;10,40120029;2,1552701;-17,25180054;-4,25150013;2027,540039;2011,23999
189;A0228;107,1760025;13,13659954;1,897760034;-18,15990067;-9,963049889;2070,300049;2044,420044
190;A0229;51,2419014;20,26009941;2,738490105;-16,78300095;-0,310584992;1893,25;2265,860107
191;A0230;69,44400024;15,48820019;2,08378005;-17,83239937;5,970419884;1710,969971;2446,090088
192;A0231;67,10949707;11,20119953;4,87375021;-13,23729992;-9,130889893;1670,77002;2497,060059
193;A0232;62,65010071;14,82759953;2,628420115;-16,66410065;-4,39414978;336,5079956;1741,140015
194;A0233;0;0,464549989;4,178979874;-5,062890053;4,449810028;131,4570007;1434,469971
195;A0234;85,23639679;5,576369762;3,687489986;-13,74769974;1,34265995;130,4420013;1529,969971
196;A0235;54,46229935;7,941349983;3,022789955;-15,22159958;7,097720146;63,00759888;1555,540039
197;A0236;144,1620026;10,20559978;3,891720057;-14,25199986;-11,07190037;410,3039856;2170,72998
198;A0237;165,4109955;17,00390053;1,580790043;-19,34280014;-6,919469833;97,29589844;1955,119995
199;A0238;160,4629974;7,595759869;4,647270203;-13,0138998;-0,652674019;236,3040009;2240,969971
200;A0239;154,798996;8,661700249;3,29866004;-14,98349953;-1,359099984;531,1049805;2448,949951
201;A0240;138,8139954;9,78057003;3,5353899;-14,77719975;1,388610005;692,3259888;2643,899902
202;A0241;107,1029968;18,30660057;2,928750038;-16,18320084;-4,111360073;289,9299927;2437,75
203;A0242;81,41639709;23,48970032;2,132400036;-18,1916008;-5,140940189;478,7709961;2649,719971
204;A0243;170,5379944;5,633399963;5,551420212;-11,72379971;-4,61661005;664,2440186;2783,909912
205;A0244;181,9750061;13,23950005;3,536299944;-15,06070042;-3,909640074;773,4509888;2828,629883
206;A0245;95,04239655;15,46930027;2,437050104;-17,04210091;-0,499967992;952,710022;2756,449951
207;A0246;116,5650024;6,208320141;5,274099827;-12,38129997;-10,02429962;1134,640015;2532,48999
208;A0247;131,9060059;11,99370003;3,663599968;-14,71490002;-4,887879848;1085,170044;2556,570068
209;A0248;168,6900024;7,070300102;6,264039993;-11,57839966;-3,264559984;991,8540039;2621,840088
210;A0249;167,7350006;10,80449963;6,515319824;-11,79360008;4,8509202;712,9260254;2898,810059
211;A0250;116,0749969;11,97669983;5,699960232;-12,49129963;1,166489959;542,9699707;2734,159912
212;A0251;94,21420288;21,1154995;2,971339941;-16,36000061;-6,974740028;532,8220215;2830,090088
213;A0252;116,0749969;11,97669983;2,900409937;-15,83230019;-1,056759953;470,1109924;2901,090088
214;A0253;65,69539642;15,41860008;2,821739912;-16,30929947;-4,911310196;309,6809998;2606
215;A0254;110,5559998;19,10499954;2,072930098;-18,17519951;-1,898120046;31,36989975;2065,51001
216;A0255;61,14429855;24,39999962;2,223089933;-18,06949997;-1,256340027;116,3440018;2485,530029
217;A0256;103,3919983;14,71070004;2,610219955;-16,62859917;4,380139828;155,1170044;2611,560059
218;A0257;83,15720367;5,828479767;4,784510136;-12,64260006;1,815160036;121,7580032;2494,469971
219;A0258;97,001297;13,10599995;3,653599977;-14,90400028;-4,686719894;233,6170044;2642,360107
220;A0259;262,4049988;20,20829964;1,615530014;-19,56200027;-0,259651989;165,973999;2477,290039
221;A0260;61,2602005;15,99569988;1,893470049;-18,36400032;4,960380077;207,246994;2247,199951
222;A0261;16,18919945;14,66699982;3,230230093;-15,56299973;-2,714519978;337,1350098;2285,070068
223;A0262;68,96250153;6,44328022;1,933910012;-17,34199905;-1,320790052;86,02639771;2337,22998
224;A0263;80,53769684;5,633399963;1,805539966;-17,55509949;-9,843549728;61,8506012;2470,48999
225;A0264;116,5650024;8,252759933;2,168169975;-16,94009972;-7,412909985;1085,849976;2055,02002
226;A0265;229,5740051;16,0442009;3,223229885;-15,7276001;-9,202010155;1092,430054;1916,670044
227;A0266;288,4349976;2,935570002;4,89428997;-10,7208004;-18,03639984;1499,069946;2145,199951
228;A0267;177,5099945;5,332049847;5,465060234;-11,58909988;-32,86410141;1515,939941;2165,629883
229;A0268;217,4049988;4,958600044;5,415400028;-11,63379955;-25,6201992;1469,310059;2206,449951
230;A0269;220,2359924;3,949320078;4,904910088;-12,15849972;-31,0788002;1434,699951;2244,040039
231;A0270;323,7460022;4,3125;2,160340071;-9,216150284;4,246230125;1292,109985;2398,219971
232;A0271;318,1799927;11,67949963;2,966419935;-15,77859974;-4,619750023;1257,680054;2302,709961
233;A0272;302,0050049;4,374139786;2,050100088;-16,52020073;-8,580519676;1196,839966;2365,810059
234;A0273;80,311203;9,571260452;4,36026001;-13,73600006;-5,234819889;1493,819946;2072,23999
235;A0274;302,9049988;4,692790031;3,668129921;-13,77610016;7,071090221;1453,359985;2065,850098
236;A0275;64,44000244;17,22739983;2,456830025;-17,12560081;1,873780012;1648,540039;1916,869995
237;A0276;93,50350189;11,25599957;2,509320021;-16,36590004;-2,797780037;1270,329956;2216,429932
238;A0277;127,6940002;12,7038002;2,815279961;-16,14430046;1,446990013;1703,449951;1794,890015
239;A0278;154,3589935;12,6718998;2,463819981;-16,88050079;-1,781340003;1619,959961;1803,23999
240;A0279;85,31410217;13,93519974;4,6634202;-13,60569954;-7,632780075;1370,869995;1622,050049
241;A0280;60,06850052;17,15789986;2,699609995;-16,74939919;-12,03339958;1503,579956;1564,829956
242;A0281;29,05459976;16,28700066;2,268599987;-17,42980003;-4,806200027;1068,780029;1915,209961
243;A0282;308,6600037;5,928030014;3,098340034;-14,77299976;-6,25067997;878,2739868;2105,879883
244;A0283;312,7090149;8,163220406;4,419310093;-13,09179974;-45,97259903;661,6669922;2322,419922
245;A0284;78,02390289;7,787489891;3,464190006;-14,5383997;0,087774403;995,0390015;1996,069946
246;A0285;101,3099976;4,726850033;6,422440052;-10,05770016;-22,10339928;842,9299927;2145,030029
247;A0286;315;6,865320206;3,865080118;-5,436480045;15,19499969;1402,030029;1586,589966
248;A0287;65,55599976;2,804409981;2,695760012;-7,370850086;-2,71765995;1591,390015;1397,199951
249;A0288;326,3099976;6,669690132;5,975150108;-11,63000011;-11,54880047;1587,209961;1514,219971
250;A0289;5,194429874;10,15480042;1,920120001;-17,80069923;-3,314169884;1727,170044;1300,25
251;A0290;64,65380096;9,673839569;2,734380007;-16,04980087;-1,152649999;1810,109985;1259,390015
252;A0291;343,1789856;10,32139969;3,437760115;-15,0060997;-7,568470001;1744,079956;1381,540039
253;A0292;4,398700237;3,025749922;5,186160088;-11,23820019;-16,62619972;1888,329956;1483,339966
254;A0293;35,09579849;20,13610077;2,096179962;-18,14489937;-1,839759946;402,973999;1854,369995
255;A0294;15,64220047;6,008220196;4,515620232;-12,75629997;-5,683680058;304,7980042;1904,400024
256;A0295;52,4958992;12,39340019;4,346829891;-13,95119953;-3,807579994;275,3819885;1983,25
257;A0296;45;5,892029762;2,58878994;-15,76570034;0,280521005;146,8399963;1641,880005
258;A0297;25,2010994;8,661700249;2,398869991;-16,5760994;6,158979893;244,0359955;1747,380005
259;A0298;29,05459976;16,28700066;2,548540115;-16,81839943;0,982218981;381,9750061;1651,170044
260;A0299;39,28939819;12,97869968;2,316540003;-17,17250061;4,528049946;344,6119995;1332,829956
261;A0300;15,94540024;6,732940197;3,032099962;-15,07499981;1,112699986;517,5360107;1290,98999
262;A0301;55,49150085;8,946700096;3,252609968;-14,9048996;-3,760279894;324,9030151;1039,819946
263;A0302;79,50849915;6,352039814;3,456020117;-14,42070007;3,821190119;237,9779968;910,6669922
264;A0303;288,4349976;0,734493971;4,485599995;-11,96520042;6,335400105;208,3000031;1059,920044
265;A0304;67,75099945;10,90869999;2,962559938;-15,79889965;-0,0305168;154,5169983;695,4990234
266;A0305;135;5,566810131;3,688030005;-13,90190029;-11,91170025;622,6450195;1156,160034
267;A0306;194,9309998;7,174190044;4,141039848;-13,66880035;6,529129982;524,6019897;1019,340027
268;A0307;285,2550049;2,646519899;5,541269779;-10,90799999;-1,21412003;963,9420166;1497,420044
269;A0308;135;3,608649969;3,651819944;-13,22770023;-3,069220066;707,7960205;1190,439941
270;A0309;201,8009949;4,990809917;5,375090122;-12,15919971;-11,11839962;649,6799927;1071,530029
271;A0310;87,18440247;13,90649986;3,249380112;-15,48379993;-1,674540043;1077,579956;1547,47998
272;A0311;136,6369934;11,35109997;3,335669994;-15,19200039;-1,058590055;989,0499878;1410,900024
273;A0312;98,84179688;20,26679993;3,015409946;-16,28639984;1,45302999;966,4630127;1455,319946
274;A0313;92,48960114;15,64190006;3,217839956;-15,5923996;-0,010427;896,8469849;1433,160034
275;A0314;113,961998;4,565700054;6,079740047;-11,08479977;-6,657740116;563,0770264;1054,589966
276;A0315;315;4,915309906;2,421700001;-15,85219955;-9,2166996;584,0410156;1139,310059
277;A0316;104,0360031;9,489430428;3,315809965;-13,47369957;-16,37150002;790,0369873;1241,530029
278;A0317;111,038002;6,44328022;3,364000082;-13,87829971;-0,783412993;772,9099731;1132,420044
279;A0318;155,5559998;5,595449924;2,871299982;-15,23560047;6,858180046;764,867981;993,6359863
280;A0319;262,1470032;13,35270023;1,731580019;-18,63089943;3,936700106;996,3499756;1228,810059
281;A0320;230,1940002;3,623490095;1,881340027;-16,54389954;-4,281429768;892,5479736;1131,219971
282;A321;90;2,785170078;2,9697299;-7,456210136;-15,99310017;344,5669861;546,7440186
283;A0322;135;2,626110077;4,962220192;-4,198390007;-17,91580009;1252,369995;1496,930054
